objectid,name,tile,nd_value,resolution,creationda,raster,fileurl,spec_type,qual,reg_src,num_gcps,meanresz,active,qc,rel_ver,num_comp,st_area_sh,st_length_
"5296",62_06_1_2_5m_v2.0,62_06,-9999.00000000000,5.00000000000,2016-12-09,,http://data.pgc.umn.edu/elev/dem/setsm/ArcticDEM/mosaic/v2.0/62_06/62_06_1_2_5m_v2.0.tar,DEM,0.28791130000,,"0",0.00000000000,"1","2","3","16",2500000000.00000000000,200000.00000000000
"5297",62_06_2_1_5m_v2.0,62_06,-9999.00000000000,5.00000000000,2016-12-09,,http://data.pgc.umn.edu/elev/dem/setsm/ArcticDEM/mosaic/v2.0/62_06/62_06_2_1_5m_v2.0.tar,DEM,0.33947381000,,"0",0.00000000000,"1","2","3","16",2500000000.00000000000,200000.00000000000
"5298",47_11_1_2_5m_v2.0,47_11,-9999.00000000000,5.00000000000,2016-12-10,,http://data.pgc.umn.edu/elev/dem/setsm/ArcticDEM/mosaic/v2.0/47_11/47_11_1_2_5m_v2.0.tar,DEM,0.94388582000,ICESat,"941",0.00000000000,"1","2","3","21",2500000000.00000000000,200000.00000000000
"5299",47_11_2_1_5m_v2.0,47_11,-9999.00000000000,5.00000000000,2016-12-10,,http://data.pgc.umn.edu/elev/dem/setsm/ArcticDEM/mosaic/v2.0/47_11/47_11_2_1_5m_v2.0.tar,DEM,0.96595996000,ICESat,"941",0.00000000000,"1","2","3","21",2500000000.00000000000,200000.00000000000
"5300",47_11_1_1_5m_v2.0,47_11,-9999.00000000000,5.00000000000,2016-12-10,,http://data.pgc.umn.edu/elev/dem/setsm/ArcticDEM/mosaic/v2.0/47_11/47_11_1_1_5m_v2.0.tar,DEM,0.91960150000,ICESat,"941",0.00000000000,"1","2","3","21",2500000000.00000000000,200000.00000000000
"5301",47_11_2_2_5m_v2.0,47_11,-9999.00000000000,5.00000000000,2016-12-10,,http://data.pgc.umn.edu/elev/dem/setsm/ArcticDEM/mosaic/v2.0/47_11/47_11_2_2_5m_v2.0.tar,DEM,0.98163273000,ICESat,"941",0.00000000000,"1","2","3","21",2500000000.00000000000,200000.00000000000
"5306",67_08_1_2_5m_v2.0,67_08,-9999.00000000000,5.00000000000,2016-12-09,,http://data.pgc.umn.edu/elev/dem/setsm/ArcticDEM/mosaic/v2.0/67_08/67_08_1_2_5m_v2.0.tar,DEM,0.26461325000,,"0",0.00000000000,"1","2","3","12",2500000000.00000000000,200000.00000000000
"5307",53_13_2_1_5m_v2.0,53_13,-9999.00000000000,5.00000000000,2016-12-10,,http://data.pgc.umn.edu/elev/dem/setsm/ArcticDEM/mosaic/v2.0/53_13/53_13_2_1_5m_v2.0.tar,DEM,0.93353084000,ICESat,"2045",-0.00300000000,"1","2","3","19",2500000000.00000000000,200000.00000000000
"5308",53_13_1_2_5m_v2.0,53_13,-9999.00000000000,5.00000000000,2016-12-10,,http://data.pgc.umn.edu/elev/dem/setsm/ArcticDEM/mosaic/v2.0/53_13/53_13_1_2_5m_v2.0.tar,DEM,0.94605721000,ICESat,"2045",-0.00300000000,"1","2","3","19",2500000000.00000000000,200000.00000000000
"5309",53_13_1_1_5m_v2.0,53_13,-9999.00000000000,5.00000000000,2016-12-10,,http://data.pgc.umn.edu/elev/dem/setsm/ArcticDEM/mosaic/v2.0/53_13/53_13_1_1_5m_v2.0.tar,DEM,0.79755527000,ICESat,"2045",-0.00300000000,"1","2","3","19",2500000000.00000000000,200000.00000000000
"5310",53_13_2_2_5m_v2.0,53_13,-9999.00000000000,5.00000000000,2016-12-10,,http://data.pgc.umn.edu/elev/dem/setsm/ArcticDEM/mosaic/v2.0/53_13/53_13_2_2_5m_v2.0.tar,DEM,0.87972481000,ICESat,"2045",-0.00300000000,"1","2","3","19",2500000000.00000000000,200000.00000000000
"5311",42_49_2_2_5m_v2.0,42_49,-9999.00000000000,5.00000000000,2016-09-21,,http://data.pgc.umn.edu/elev/dem/setsm/ArcticDEM/mosaic/v2.0/42_49/42_49_2_2_5m_v2.0.tar,DEM,0.10123281000,ICESat,"97",1.93600000000,"1","2","3","14",2500000000.00000000000,200000.00000000000
"5312",52_11_2_1_5m_v2.0,52_11,-9999.00000000000,5.00000000000,2016-12-09,,http://data.pgc.umn.edu/elev/dem/setsm/ArcticDEM/mosaic/v2.0/52_11/52_11_2_1_5m_v2.0.tar,DEM,0.93197691000,ICESat,"885",-0.00400000000,"1","2","3","27",2500000000.00000000000,200000.00000000000
"5313",52_11_1_2_5m_v2.0,52_11,-9999.00000000000,5.00000000000,2016-12-09,,http://data.pgc.umn.edu/elev/dem/setsm/ArcticDEM/mosaic/v2.0/52_11/52_11_1_2_5m_v2.0.tar,DEM,0.98555291000,ICESat,"885",-0.00400000000,"1","2","3","27",2500000000.00000000000,200000.00000000000
"5314",52_11_2_2_5m_v2.0,52_11,-9999.00000000000,5.00000000000,2016-12-09,,http://data.pgc.umn.edu/elev/dem/setsm/ArcticDEM/mosaic/v2.0/52_11/52_11_2_2_5m_v2.0.tar,DEM,0.96713199000,ICESat,"885",-0.00400000000,"1","2","3","27",2500000000.00000000000,200000.00000000000
"5315",52_11_1_1_5m_v2.0,52_11,-9999.00000000000,5.00000000000,2016-12-09,,http://data.pgc.umn.edu/elev/dem/setsm/ArcticDEM/mosaic/v2.0/52_11/52_11_1_1_5m_v2.0.tar,DEM,0.94286988000,ICESat,"885",-0.00400000000,"1","2","3","27",2500000000.00000000000,200000.00000000000
"5316",54_17_2_1_5m_v2.0,54_17,-9999.00000000000,5.00000000000,2016-12-07,,http://data.pgc.umn.edu/elev/dem/setsm/ArcticDEM/mosaic/v2.0/54_17/54_17_2_1_5m_v2.0.tar,DEM,1.00000000000,ICESat,"833",0.00300000000,"1","2","3","38",2500000000.00000000000,200000.00000000000
"5317",54_17_2_2_5m_v2.0,54_17,-9999.00000000000,5.00000000000,2016-12-07,,http://data.pgc.umn.edu/elev/dem/setsm/ArcticDEM/mosaic/v2.0/54_17/54_17_2_2_5m_v2.0.tar,DEM,0.93481797000,ICESat,"833",0.00300000000,"1","2","3","38",2500000000.00000000000,200000.00000000000
"5318",54_17_1_1_5m_v2.0,54_17,-9999.00000000000,5.00000000000,2016-12-07,,http://data.pgc.umn.edu/elev/dem/setsm/ArcticDEM/mosaic/v2.0/54_17/54_17_1_1_5m_v2.0.tar,DEM,0.92688786000,ICESat,"833",0.00300000000,"1","2","3","38",2500000000.00000000000,200000.00000000000
"5319",54_17_1_2_5m_v2.0,54_17,-9999.00000000000,5.00000000000,2016-12-07,,http://data.pgc.umn.edu/elev/dem/setsm/ArcticDEM/mosaic/v2.0/54_17/54_17_1_2_5m_v2.0.tar,DEM,0.87005655000,ICESat,"833",0.00300000000,"1","2","3","38",2500000000.00000000000,200000.00000000000
