objectid,name,tile,nd_value,resolution,creationda,raster,fileurl,spec_type,qual,reg_src,num_gcps,meanresz,active,qc,rel_ver,num_comp,st_area_sh,st_length_
"13258",18_44_1_2_5m_v2.0,18_44,-9999.00000000000,5.00000000000,2017-05-24,,http://data.pgc.umn.edu/elev/dem/setsm/ArcticDEM/mosaic/v2.0/18_44/18_44_1_2_5m_v2.0.tar.gz,DEM,1.00000000000,ICESat,"856",0.00700000000,"1","2","5","44",2500000000.00000000000,200000.00000000000
"12909",21_40_1_1_5m_v2.0,21_40,-9999.00000000000,5.00000000000,2017-05-05,,http://data.pgc.umn.edu/elev/dem/setsm/ArcticDEM/mosaic/v2.0/21_40/21_40_1_1_5m_v2.0.tar.gz,DEM,1.00000000000,ICESat,"688",-0.00800000000,"1","2","5","42",2500000000.00000000000,200000.00000000000
"14522",17_41_2_2_5m_v2.0,17_41,-9999.00000000000,5.00000000000,2017-05-05,,http://data.pgc.umn.edu/elev/dem/setsm/ArcticDEM/mosaic/v2.0/17_41/17_41_2_2_5m_v2.0.tar.gz,DEM,1.00000000000,ICESat,"666",-0.00900000000,"1","2","5","26",2500000000.00000000000,200000.00000000000
"12401",23_43_2_1_5m_v2.0,23_43,-9999.00000000000,5.00000000000,2017-05-09,,http://data.pgc.umn.edu/elev/dem/setsm/ArcticDEM/mosaic/v2.0/23_43/23_43_2_1_5m_v2.0.tar.gz,DEM,0.98859509000,Neighbor Align,"0",0.43500000000,"1","2","5","54",2500000000.00000000000,200000.00000000000
"12823",25_43_1_2_5m_v2.0,25_43,-9999.00000000000,5.00000000000,2017-05-06,,http://data.pgc.umn.edu/elev/dem/setsm/ArcticDEM/mosaic/v2.0/25_43/25_43_1_2_5m_v2.0.tar.gz,DEM,1.00000000000,ICESat,"821",0.00400000000,"1","2","5","38",2500000000.00000000000,200000.00000000000
"14562",20_43_2_2_5m_v2.0,20_43,-9999.00000000000,5.00000000000,2017-05-06,,http://data.pgc.umn.edu/elev/dem/setsm/ArcticDEM/mosaic/v2.0/20_43/20_43_2_2_5m_v2.0.tar.gz,DEM,0.99841790000,ICESat,"810",-0.00100000000,"1","2","5","60",2500000000.00000000000,200000.00000000000
"13781",16_40_1_2_5m_v2.0,16_40,-9999.00000000000,5.00000000000,2017-05-05,,http://data.pgc.umn.edu/elev/dem/setsm/ArcticDEM/mosaic/v2.0/16_40/16_40_1_2_5m_v2.0.tar.gz,DEM,0.97502384000,ICESat,"729",-0.00400000000,"1","2","5","40",2500000000.00000000000,200000.00000000000
"13814",26_43_2_1_5m_v2.0,26_43,-9999.00000000000,5.00000000000,2017-05-06,,http://data.pgc.umn.edu/elev/dem/setsm/ArcticDEM/mosaic/v2.0/26_43/26_43_2_1_5m_v2.0.tar.gz,DEM,0.97631854000,Neighbor Align,"0",0.27800000000,"1","2","5","28",2500000000.00000000000,200000.00000000000
"14612",21_41_1_1_5m_v2.0,21_41,-9999.00000000000,5.00000000000,2017-05-05,,http://data.pgc.umn.edu/elev/dem/setsm/ArcticDEM/mosaic/v2.0/21_41/21_41_1_1_5m_v2.0.tar.gz,DEM,0.99875815000,ICESat,"830",0.00000000000,"1","2","5","50",2500000000.00000000000,200000.00000000000
"15058",14_41_2_1_5m_v2.0,14_41,-9999.00000000000,5.00000000000,2017-05-23,,http://data.pgc.umn.edu/elev/dem/setsm/ArcticDEM/mosaic/v2.0/14_41/14_41_2_1_5m_v2.0.tar.gz,DEM,1.00000000000,ICESat,"810",-0.00100000000,"1","2","5","38",2500000000.00000000000,200000.00000000000
"14910",25_45_2_2_5m_v2.0,25_45,-9999.00000000000,5.00000000000,2017-05-24,,http://data.pgc.umn.edu/elev/dem/setsm/ArcticDEM/mosaic/v2.0/25_45/25_45_2_2_5m_v2.0.tar.gz,DEM,1.00000000000,ICESat,"857",-0.00500000000,"1","2","5","82",2500000000.00000000000,200000.00000000000
"13346",17_43_1_1_5m_v2.0,17_43,-9999.00000000000,5.00000000000,2017-05-26,,http://data.pgc.umn.edu/elev/dem/setsm/ArcticDEM/mosaic/v2.0/17_43/17_43_1_1_5m_v2.0.tar.gz,DEM,0.99959461000,ICESat,"745",0.00600000000,"1","2","5","34",2500000000.00000000000,200000.00000000000
"12039",17_45_1_1_5m_v2.0,17_45,-9999.00000000000,5.00000000000,2017-05-23,,http://data.pgc.umn.edu/elev/dem/setsm/ArcticDEM/mosaic/v2.0/17_45/17_45_1_1_5m_v2.0.tar.gz,DEM,0.99530080000,ICESat,"705",0.00800000000,"1","2","5","79",2500000000.00000000000,200000.00000000000
"13784",16_40_2_1_5m_v2.0,16_40,-9999.00000000000,5.00000000000,2017-05-05,,http://data.pgc.umn.edu/elev/dem/setsm/ArcticDEM/mosaic/v2.0/16_40/16_40_2_1_5m_v2.0.tar.gz,DEM,1.00000000000,ICESat,"729",-0.00400000000,"1","2","5","40",2500000000.00000000000,200000.00000000000
"13738",19_44_1_2_5m_v2.0,19_44,-9999.00000000000,5.00000000000,2017-05-24,,http://data.pgc.umn.edu/elev/dem/setsm/ArcticDEM/mosaic/v2.0/19_44/19_44_1_2_5m_v2.0.tar.gz,DEM,0.99880886000,ICESat,"749",-0.00600000000,"1","2","5","46",2500000000.00000000000,200000.00000000000
"7230",13_39_1_1_5m_v2.0,13_39,-9999.00000000000,5.00000000000,2017-01-25,,http://data.pgc.umn.edu/elev/dem/setsm/ArcticDEM/mosaic/v2.0/13_39/13_39_1_1_5m_v2.0.tar,DEM,0.92050353000,ICESat,"669",0.01300000000,"1","2","4","23",2500000000.00000000000,200000.00000000000
"14334",19_47_2_2_5m_v2.0,19_47,-9999.00000000000,5.00000000000,2017-05-24,,http://data.pgc.umn.edu/elev/dem/setsm/ArcticDEM/mosaic/v2.0/19_47/19_47_2_2_5m_v2.0.tar.gz,DEM,0.99671546000,ICESat,"889",0.00300000000,"1","2","5","102",2500000000.00000000000,200000.00000000000
"7240",15_37_1_1_5m_v2.0,15_37,-9999.00000000000,5.00000000000,2017-01-25,,http://data.pgc.umn.edu/elev/dem/setsm/ArcticDEM/mosaic/v2.0/15_37/15_37_1_1_5m_v2.0.tar,DEM,0.00897660000,ICESat,"1560",0.02350000000,"1","2","4","33",2500000000.00000000000,200000.00000000000
"7239",15_37_1_2_5m_v2.0,15_37,-9999.00000000000,5.00000000000,2017-01-25,,http://data.pgc.umn.edu/elev/dem/setsm/ArcticDEM/mosaic/v2.0/15_37/15_37_1_2_5m_v2.0.tar,DEM,0.16748389000,ICESat,"1560",0.02350000000,"1","2","4","33",2500000000.00000000000,200000.00000000000
"14686",14_43_1_2_5m_v2.0,14_43,-9999.00000000000,5.00000000000,2017-05-23,,http://data.pgc.umn.edu/elev/dem/setsm/ArcticDEM/mosaic/v2.0/14_43/14_43_1_2_5m_v2.0.tar.gz,DEM,0.85622406000,ICESat,"871",-0.00400000000,"1","2","5","72",2500000000.00000000000,200000.00000000000
"7077",18_37_1_2_5m_v2.0,18_37,-9999.00000000000,5.00000000000,2017-01-25,,http://data.pgc.umn.edu/elev/dem/setsm/ArcticDEM/mosaic/v2.0/18_37/18_37_1_2_5m_v2.0.tar,DEM,0.26657620000,ICESat,"582",0.00200000000,"1","2","4","21",2500000000.00000000000,200000.00000000000
"7076",18_37_2_2_5m_v2.0,18_37,-9999.00000000000,5.00000000000,2017-01-25,,http://data.pgc.umn.edu/elev/dem/setsm/ArcticDEM/mosaic/v2.0/18_37/18_37_2_2_5m_v2.0.tar,DEM,0.65562799000,ICESat,"582",0.00200000000,"1","2","4","21",2500000000.00000000000,200000.00000000000
"7079",13_38_1_2_5m_v2.0,13_38,-9999.00000000000,5.00000000000,2017-01-26,,http://data.pgc.umn.edu/elev/dem/setsm/ArcticDEM/mosaic/v2.0/13_38/13_38_1_2_5m_v2.0.tar,DEM,0.98943585000,ICESat,"798",0.00300000000,"1","2","4","42",2500000000.00000000000,200000.00000000000
"7078",18_37_2_1_5m_v2.0,18_37,-9999.00000000000,5.00000000000,2017-01-25,,http://data.pgc.umn.edu/elev/dem/setsm/ArcticDEM/mosaic/v2.0/18_37/18_37_2_1_5m_v2.0.tar,DEM,0.05764338000,ICESat,"582",0.00200000000,"1","2","4","21",2500000000.00000000000,200000.00000000000
"7081",13_38_2_1_5m_v2.0,13_38,-9999.00000000000,5.00000000000,2017-01-26,,http://data.pgc.umn.edu/elev/dem/setsm/ArcticDEM/mosaic/v2.0/13_38/13_38_2_1_5m_v2.0.tar,DEM,0.97042104000,ICESat,"798",0.00300000000,"1","2","4","42",2500000000.00000000000,200000.00000000000
"7080",13_38_1_1_5m_v2.0,13_38,-9999.00000000000,5.00000000000,2017-01-26,,http://data.pgc.umn.edu/elev/dem/setsm/ArcticDEM/mosaic/v2.0/13_38/13_38_1_1_5m_v2.0.tar,DEM,0.76207869000,ICESat,"798",0.00300000000,"1","2","4","42",2500000000.00000000000,200000.00000000000
"7232",13_39_2_2_5m_v2.0,13_39,-9999.00000000000,5.00000000000,2017-01-25,,http://data.pgc.umn.edu/elev/dem/setsm/ArcticDEM/mosaic/v2.0/13_39/13_39_2_2_5m_v2.0.tar,DEM,1.00000000000,ICESat,"669",0.01300000000,"1","2","4","23",2500000000.00000000000,200000.00000000000
"12634",07_41_1_1_5m_v2.0,07_41,-9999.00000000000,5.00000000000,2017-05-22,,http://data.pgc.umn.edu/elev/dem/setsm/ArcticDEM/mosaic/v2.0/07_41/07_41_1_1_5m_v2.0.tar.gz,DEM,0.05948229000,ICESat,"247",-0.00400000000,"1","2","5","110",2500000000.00000000000,200000.00000000000
"7231",13_39_1_2_5m_v2.0,13_39,-9999.00000000000,5.00000000000,2017-01-25,,http://data.pgc.umn.edu/elev/dem/setsm/ArcticDEM/mosaic/v2.0/13_39/13_39_1_2_5m_v2.0.tar,DEM,0.99679594000,ICESat,"669",0.01300000000,"1","2","4","23",2500000000.00000000000,200000.00000000000
"7234",20_37_2_1_5m_v2.0,20_37,-9999.00000000000,5.00000000000,2017-01-25,,http://data.pgc.umn.edu/elev/dem/setsm/ArcticDEM/mosaic/v2.0/20_37/20_37_2_1_5m_v2.0.tar,DEM,0.51167385000,ICESat,"877",0.00000000000,"1","2","4","27",2500000000.00000000000,200000.00000000000
"7233",20_37_1_1_5m_v2.0,20_37,-9999.00000000000,5.00000000000,2017-01-25,,http://data.pgc.umn.edu/elev/dem/setsm/ArcticDEM/mosaic/v2.0/20_37/20_37_1_1_5m_v2.0.tar,DEM,0.00282778000,ICESat,"877",0.00000000000,"1","2","4","27",2500000000.00000000000,200000.00000000000
"7236",20_37_1_2_5m_v2.0,20_37,-9999.00000000000,5.00000000000,2017-01-25,,http://data.pgc.umn.edu/elev/dem/setsm/ArcticDEM/mosaic/v2.0/20_37/20_37_1_2_5m_v2.0.tar,DEM,0.00018427000,ICESat,"877",0.00000000000,"1","2","4","27",2500000000.00000000000,200000.00000000000
"12361",19_43_1_2_5m_v2.0,19_43,-9999.00000000000,5.00000000000,2017-05-05,,http://data.pgc.umn.edu/elev/dem/setsm/ArcticDEM/mosaic/v2.0/19_43/19_43_1_2_5m_v2.0.tar.gz,DEM,1.00000000000,ICESat,"918",-0.00300000000,"1","2","5","45",2500000000.00000000000,200000.00000000000
"7235",20_37_2_2_5m_v2.0,20_37,-9999.00000000000,5.00000000000,2017-01-25,,http://data.pgc.umn.edu/elev/dem/setsm/ArcticDEM/mosaic/v2.0/20_37/20_37_2_2_5m_v2.0.tar,DEM,0.55920142000,ICESat,"877",0.00000000000,"1","2","4","27",2500000000.00000000000,200000.00000000000
"11697",18_42_2_1_5m_v2.0,18_42,-9999.00000000000,5.00000000000,2017-05-05,,http://data.pgc.umn.edu/elev/dem/setsm/ArcticDEM/mosaic/v2.0/18_42/18_42_2_1_5m_v2.0.tar.gz,DEM,0.99006999000,ICESat,"794",-0.00100000000,"1","2","5","45",2500000000.00000000000,200000.00000000000
"7238",15_37_2_2_5m_v2.0,15_37,-9999.00000000000,5.00000000000,2017-01-25,,http://data.pgc.umn.edu/elev/dem/setsm/ArcticDEM/mosaic/v2.0/15_37/15_37_2_2_5m_v2.0.tar,DEM,0.81508912000,ICESat,"1560",0.02350000000,"1","2","4","33",2500000000.00000000000,200000.00000000000
